lat,lon,co2
89.5,-180.0,-9999.0
89.5,-177.5,-9999.0
89.5,-175.0,-9999.0
89.5,-172.5,-9999.0
89.5,-170.0,-9999.0
89.5,-167.5,-9999.0
89.5,-165.0,-9999.0
89.5,-162.5,-9999.0
89.5,-160.0,-9999.0
89.5,-157.5,-9999.0
89.5,-155.0,-9999.0
89.5,-152.5,-9999.0
89.5,-150.0,-9999.0
89.5,-147.5,-9999.0
89.5,-145.0,-9999.0
89.5,-142.5,-9999.0
89.5,-140.0,-9999.0
89.5,-137.5,-9999.0
89.5,-135.0,-9999.0
89.5,-132.5,-9999.0
89.5,-130.0,-9999.0
89.5,-127.5,-9999.0
89.5,-125.0,-9999.0
89.5,-122.5,-9999.0
89.5,-120.0,-9999.0
89.5,-117.5,-9999.0
89.5,-115.0,-9999.0
89.5,-112.5,-9999.0
89.5,-110.0,-9999.0
89.5,-107.5,-9999.0
89.5,-105.0,-9999.0
89.5,-102.5,-9999.0
89.5,-100.0,-9999.0
89.5,-97.5,-9999.0
89.5,-95.0,-9999.0
89.5,-92.5,-9999.0
89.5,-90.0,-9999.0
89.5,-87.5,-9999.0
89.5,-85.0,-9999.0
89.5,-82.5,-9999.0
89.5,-80.0,-9999.0
89.5,-77.5,-9999.0
89.5,-75.0,0.000400775
89.5,-72.5,-9999.0
89.5,-70.0,-9999.0
89.5,-67.5,-9999.0
89.5,-65.0,-9999.0
89.5,-62.5,-9999.0
89.5,-60.0,-9999.0
89.5,-57.5,-9999.0
89.5,-55.0,0.000411518
89.5,-52.5,-9999.0
89.5,-50.0,-9999.0
89.5,-47.5,-9999.0
89.5,-45.0,-9999.0
89.5,-42.5,-9999.0
89.5,-40.0,-9999.0
89.5,-37.5,-9999.0
89.5,-35.0,-9999.0
89.5,-32.5,-9999.0
89.5,-30.0,-9999.0
89.5,-27.5,0.000402978
89.5,-25.0,-9999.0
89.5,-22.5,-9999.0
89.5,-20.0,-9999.0
89.5,-17.5,-9999.0
89.5,-15.0,-9999.0
89.5,-12.5,-9999.0
89.5,-10.0,-9999.0
89.5,-7.5,-9999.0
89.5,-5.0,-9999.0
89.5,-2.5,-9999.0
89.5,0.0,-9999.0
89.5,2.5,-9999.0
89.5,5.0,-9999.0
89.5,7.5,-9999.0
89.5,10.0,-9999.0
89.5,12.5,0.000403585
89.5,15.0,-9999.0
89.5,17.5,-9999.0
89.5,20.0,-9999.0
89.5,22.5,0.000398781
89.5,25.0,-9999.0
89.5,27.5,-9999.0
89.5,30.0,-9999.0
89.5,32.5,-9999.0
89.5,35.0,-9999.0
89.5,37.5,-9999.0
89.5,40.0,-9999.0
89.5,42.5,-9999.0
89.5,45.0,-9999.0
89.5,47.5,-9999.0
89.5,50.0,-9999.0
89.5,52.5,-9999.0
89.5,55.0,-9999.0
89.5,57.5,-9999.0
89.5,60.0,-9999.0
89.5,62.5,0.000411978
89.5,65.0,-9999.0
89.5,67.5,-9999.0
89.5,70.0,-9999.0
89.5,72.5,-9999.0
89.5,75.0,-9999.0
89.5,77.5,-9999.0
89.5,80.0,-9999.0
89.5,82.5,-9999.0
89.5,85.0,-9999.0
89.5,87.5,-9999.0
89.5,90.0,-9999.0
89.5,92.5,0.000393517
89.5,95.0,-9999.0
89.5,97.5,-9999.0
89.5,100.0,-9999.0
89.5,102.5,-9999.0
89.5,105.0,-9999.0
89.5,107.5,-9999.0
89.5,110.0,-9999.0
89.5,112.5,-9999.0
89.5,115.0,-9999.0
89.5,117.5,-9999.0
89.5,120.0,-9999.0
89.5,122.5,-9999.0
89.5,125.0,-9999.0
89.5,127.5,-9999.0
89.5,130.0,-9999.0
89.5,132.5,-9999.0
89.5,135.0,-9999.0
89.5,137.5,-9999.0
89.5,140.0,-9999.0
89.5,142.5,-9999.0
89.5,145.0,-9999.0
89.5,147.5,-9999.0
89.5,150.0,-9999.0
89.5,152.5,-9999.0
89.5,155.0,-9999.0
89.5,157.5,-9999.0
89.5,160.0,-9999.0
89.5,162.5,-9999.0
89.5,165.0,-9999.0
89.5,167.5,-9999.0
89.5,170.0,-9999.0
89.5,172.5,-9999.0
89.5,175.0,-9999.0
89.5,177.5,-9999.0
88.0,-180.0,-9999.0
88.0,-177.5,0.00039339802
88.0,-175.0,0.000406568
88.0,-172.5,-9999.0
88.0,-170.0,0.000399009
88.0,-167.5,0.000402382
88.0,-165.0,-9999.0
88.0,-162.5,0.00040717897
88.0,-160.0,0.000401739
88.0,-157.5,-9999.0
88.0,-155.0,-9999.0
88.0,-152.5,-9999.0
88.0,-150.0,0.000403465
88.0,-147.5,-9999.0
88.0,-145.0,-9999.0
88.0,-142.5,-9999.0
88.0,-140.0,0.000399987
88.0,-137.5,-9999.0
88.0,-135.0,0.000409648
88.0,-132.5,0.000401299
88.0,-130.0,0.00040339402
88.0,-127.5,-9999.0
88.0,-125.0,0.000403952
88.0,-122.5,-9999.0
88.0,-120.0,-9999.0
88.0,-117.5,0.000405826
88.0,-115.0,0.000405017
88.0,-112.5,0.00039948427
88.0,-110.0,-9999.0
88.0,-107.5,0.00040898498
88.0,-105.0,0.00040693601
88.0,-102.5,0.000406376
88.0,-100.0,0.000402123
88.0,-97.5,0.000407806
88.0,-95.0,-9999.0
88.0,-92.5,-9999.0
88.0,-90.0,0.000407768
88.0,-87.5,-9999.0
88.0,-85.0,0.0004023255
88.0,-82.5,0.000400707
88.0,-80.0,-9999.0
88.0,-77.5,0.00040174034
88.0,-75.0,-9999.0
88.0,-72.5,-9999.0
88.0,-70.0,0.000405695
88.0,-67.5,0.00040332964
88.0,-65.0,0.000401099
88.0,-62.5,0.00040445165
88.0,-60.0,0.000400324
88.0,-57.5,0.00040120402
88.0,-55.0,-9999.0
88.0,-52.5,0.000413753
88.0,-50.0,0.000403443
88.0,-47.5,0.0004041565
88.0,-45.0,0.00040737996
88.0,-42.5,0.000397802
88.0,-40.0,0.000400065
88.0,-37.5,0.00039199702
88.0,-35.0,0.0004002765
88.0,-32.5,0.00039830498
88.0,-30.0,-9999.0
88.0,-27.5,0.0004020175
88.0,-25.0,-9999.0
88.0,-22.5,0.0003996987
88.0,-20.0,-9999.0
88.0,-17.5,-9999.0
88.0,-15.0,0.00040002452
88.0,-12.5,-9999.0
88.0,-10.0,-9999.0
88.0,-7.5,-9999.0
88.0,-5.0,0.00040087602
88.0,-2.5,0.000404775
88.0,0.0,0.000405895
88.0,2.5,-9999.0
88.0,5.0,0.0003996785
88.0,7.5,-9999.0
88.0,10.0,0.0004003565
88.0,12.5,0.00040139598
88.0,15.0,-9999.0
88.0,17.5,0.000403805
88.0,20.0,0.000393268
88.0,22.5,0.00039614
88.0,25.0,0.00040218374
88.0,27.5,0.000400499
88.0,30.0,0.0004036065
88.0,32.5,0.000394898
88.0,35.0,0.0004034245
88.0,37.5,0.00040044502
88.0,40.0,0.00041406698
88.0,42.5,0.000401919
88.0,45.0,-9999.0
